value,active,description,definition,source
FIRE_EXTINGUISHER,TRUE,Fire Extinguisher (All Agent Types),,
BOOSTER_FIRE_HOSE,TRUE,Booster ( < 1 inch) Fire Hose,,
SMALL_DIAMETER_FIRE_HOSE,TRUE,Small Diameter (1 inch to 2 inch) Fire Hose,,
MEDIUM_DIAMETER_FIRE_HOSE,TRUE,Medium Diameter (2 inch to 3 inch) Fire Hose,,
GROUND_MONITOR,TRUE,Ground Monitor,,
MASTER_STREAM,TRUE,Master Stream,,
ELEVATED_MASTER_STREAM_STANDPIPE,TRUE,Elevated Master Stream / Flying Standpipe,,
BUILDING_STANDPIPE,TRUE,Building Standpipe,,
BUILDING_FDC,TRUE,Building Fire Department Connection,,
AIRATTACK_HELITACK,TRUE,Air Tanker / Helitank,,
OTHER,TRUE,Other,,
NONE,TRUE,None,,
