name,type,group,possible_if,computed,computed_from,cardinality,value_set,value_set_location,description,example,comments
injury_datetime,Datetime (UTC),injury,,False,,Single,False,,Datetime of injury.,2024-05-07 00:00:00,
assignment,Array[Text],injury,,False,,Single,True,type_assignment,Assignment type at time of injury.,See type_assignment,
severity,Array[Text],injury,,False,,Single,True,type_severity,Severity of injury.,See type_severity,
disposition,Array[Text],injury,,False,,Single,True,type_disposition,Disposition  of/response to injury.,See type_disposition,
location,Module,injury,,False,,Single,True,mod_civic_location,Location of injury.,See mod_civic_location,
activity,Array[Text],injury,,False,,Multi,True,type_activity,Activity during injury.,See type_activity,
injury_type,Array[Text],injury,,False,,Multi,True,type_injury,Type of injury.,See type_injury,
body_part_injured,Array[Text],injury,,False,,Multi,True,type_body_part_injured,Body part(s) affected due to injury.,See type_body_part_injured,
injury_cause,Array[Text],injury,,False,,Multi,True,type_injury_cause,Cause of injury.,See type_injury_cause,
neris_id_last_incident,Text,incident,,False,,Single,False,,NERIS ID of last incident response.,,
hours_slept,Integer,incident,,False,,Single,False,,Number of hours slept in the last 24 hours.,8,
shift_schedule,Array[Text],shift,,True,,Single,True,mod_personnel_spec.type_shift_schedule,Type of shift scheduled being worked during injury.,See type_shift_schedule,
shift_start_datetime,Datetime (UTC),shift,,False,,Single,False,,Datetime of start of shift during which injury occurred.,2023-05-07 06:00:00,
