value,active,description,definition,source
GAS_CUBIC_FOOT,True,Gas - Cubic Foot ,,
GAS_CUBIC_INCH,True,Gas - Cubic Inch ,,
GAS_CUBIC_CENTIMETER,True,Gas - Cubic Centimeter ,,
GAS_CUBIC_METER,True,Gas - Cubic Meter ,,
GAS_POUND,True,Gas - Pound ,,
LIQUID_CUBIC_CENTIMETER,True,Liquid - Cubic Centimeter ,,
LIQUID_CUP,True,Liquid - Cup ,,
LIQUID_GALLON,True,Liquid - Gallon ,,
LIQUID_GRAM,True,Liquid - Gram ,,
LIQUID_KILOGRAM,True,Liquid - Kilogram ,,
LIQUID_POUND,True,Liquid - Pound ,,
LIQUID_LITER,True,Liquid - Liter ,,
LIQUID_MILLIGRAM,True,Liquid - Milligram ,,
LIQUID_MILLILITER,True,Liquid - Milliliter ,,
LIQUID_OUNCE,True,Liquid - Ounce ,,
LIQUID_PINT,True,Liquid - Pint ,,
LIQUID_QUART,True,Liquid - Quart ,,
LIQUID_TABLESPOON,True,Liquid - Tablespoon ,,
LIQUID_TEASPOON,True,Liquid - Teaspoon ,,
SOLID_GRAM,True,Solid - Gram ,,
SOLID_KILOGRAM,True,Solid - Kilogram ,,
SOLID_POUND,True,Solid - Pound ,,
SOLID_LITER,True,Solid - Liter ,,
SOLID_MILLIGRAM,True,Solid - Milligram ,,
SOLID_OUNCE,True,Solid - Ounce ,,
SOLID_TABLESPOON,True,Solid - Tablespoon ,,
SOLID_TON,True,Solid - Ton ,,
SOLID_TEASPOON,True,Solid - Teaspoon ,,
RADIOACTIVE_CURIE,True,Radioactive - Curie ,,
RADIOACTIVE_MEGABECQUEREL,True,Radioactive - Megabecquerel ,,
RADIOACTIVE_MILLICURIE,True,Radioactive - Millicurie ,,
RADIOACTIVE_TERABECQUEREL,True,Radioactive - Terabecquerel ,,
RADIOACTIVE_MICROCURIE,True,Radioactive - Microcurie ,,
