,active,value,description,definition,source
0,True,WEATHER,Weather,See WNCG tables,
1,True,SUPPRESSION_ACTIVITY,Suppression Activity,,
2,True,CONSTRUCTION,Construction,,
3,True,ELECTRICAL_UTILITIES,Electrical Utilities,,
4,True,FARMING_RANCHING,Farming/Ranching,,
5,True,GOVERNMENTAL_TRIBAL_ACTIVITIES,Governmental/Tribal Activities,,
6,True,HUNTING_TRAPPING_FISHING,Hunting/Trapping Fishing,,
7,True,LAW_ENFORCEMENT,Law Enforcement,,
8,True,LOGGING_FORESTRY,Logging/Forestry,,
9,True,MILITARY,Military,,
10,True,MINING_EXTRACTION,Mining/Extraction,,
11,True,MOTORIST,Motorist,,
12,True,OTHER_UTILITIES,Other Utilities,,
13,True,PRIVATE_RESIDENTIAL,Private/Residential,,
14,True,RAILROAD,Railroad,,
15,True,RECREATION,Recreation,,
16,True,TRANSIENT,Transient,,
17,True,OTHER,Other,,
18,True,UNKNOWN,Unknown,,
