,active,value,description,definition,source
0,TRUE,HEART_FAILURE,Heart failure,,
1,TRUE,COPD,COPD,,
2,TRUE,ASTHMA,Asthma,,
3,TRUE,CARDIAC_ARRHYTHMIA,Cardiac Arrhythmia,,
4,TRUE,HYPERTENSION,Hypertension,,
5,TRUE,KIDNEY_DISEASE,Kidney disease,,
6,TRUE,CANCER,Cancer,,
7,TRUE,CVA_STROKE,CVA / Stroke,,
8,TRUE,MYOCARDIAL_INFARCTION,Myocardial Infarction,,
9,TRUE,SEIZURE_DISORDER,Seizure Disorder,,
10,TRUE,DIABETES,Diabetes,,
11,TRUE,POST_SURGERY,Post surgery,,
12,TRUE,OPEN_WOUNDS,Open wounds,,
13,TRUE,PAIN_CONTROL,Pain control,,
14,TRUE,PSYCHOLOGICAL_BEHAVIORAL_HEALTH,Psychological / Behavioral Health,,
15,TRUE,SUBSTANCE_USE_DISORDER,Substance use disorder,,
16,TRUE,PHYSICAL_LIMITATIONS_DISABILITY,Physical limitations or disability,,
17,TRUE,OTHER,Other,,
18,TRUE,NONE,,,
