,active,value,description,definition,source
0,True,OBSTRUCTION,Obstruction,,
1,True,VISUAL_BARRIER,Visual barrier,,
2,True,BROKEN_STEM,Broken stem,,
3,True,HARD_OPEN,Hard open,,
4,True,HARD_CLOSE,Hard close,,
5,True,LEAKING,Leaking,,
6,True,CAP_MISSING,Cap Missing,,
7,True,CAP_NOT_REMOVABLE,Cap not removable,,
8,True,CHATTER,Chatter,,
9,True,DEFECTIVE_THREAD,Defective thread,,
10,True,DRAIN_DEFECTIVE,Drain defective,,
11,True,FROZEN,Frozen,,
12,True,NON_FUNCTION_FROST_JACKET,Non-functional frost jacket,,
13,True,CHAINS_MISSING,Chains missing,,
14,True,NEEDS_PAINT,Needs paint,,
15,True,MARKER_MISSING,Maker missing,,
16,True,NEEDS_GREASE,Needs grease,,
