,active,value,description,definition,source
0,True,SMOKE_ALARM,Smoke Alarm,,
1,True,HEAT_ALARM,Heat Alarm,,
2,True,AUTOMATIC_SUPPRESSION,Automatic Suppression System,,
3,True,VISUAL_SIGHTING,Visual Sighting,,
4,True,SPECIALTY_DETECTOR,Specialty Detector,,
5,True,MANUAL_ACTIVATION,Manual activation,,
6,True,ODOR,Odor,,
7,True,PET,Pet,,
8,True,AUDIBLE_NOISE,Audible noise,,
9,True,ALERTED_BY_PERSON,Alerted by person,,
10,True,NO_INITIAL_DETECTION,No Initial Detection (Burn Out Prior to Detection),,
11,True,UNKNOWN,Initial Detection Unknown,,
12,True,OTHER,Other,,
