active,value_1,value_2,value_3,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
TRUE,EMERGENCY_MEDICAL_CARE,PATIENT_ASSESSMENT,,Emergency Medical Care,Patient Assessment,,,,,
TRUE,EMERGENCY_MEDICAL_CARE,PROVIDE_BASIC_LIFE_SUPPORT,,Emergency Medical Care,Provide Basic Life Support,,,,,
TRUE,EMERGENCY_MEDICAL_CARE,PROVIDE_ADVANCED_LIFE_SUPPORT,,Emergency Medical Care,Provide Advanced Life Support,,,,,
TRUE,EMERGENCY_MEDICAL_CARE,PROVIDE_TRANSPORT,,Emergency Medical Care,Provide Transport,,,,,
TRUE,EMERGENCY_MEDICAL_CARE,PATIENT_REFERRAL,,Emergency Medical Care,Patient Referral,,,,,
TRUE,COMMAND_AND_CONTROL,ESTABLISH_INCIDENT_COMMAND,,Command And Control,Establish Incident Command,,,,,
TRUE,COMMAND_AND_CONTROL,SAFETY_OFFICER_ASSIGNED,,Command And Control,Safety Officer Assigned,,,,,
TRUE,COMMAND_AND_CONTROL,PIO_ASSIGNED,,Command And Control,PIO Assigned,,,,,
TRUE,COMMAND_AND_CONTROL,NOTIFY_OTHER_AGENCIES,,Command And Control,Notify Other Agencies,,,,,
TRUE,COMMAND_AND_CONTROL,INCIDENT_ASSESSMENT_COMPLETED,,Command And Control,Incident Assessment (360 Degree Visualization) Completed,,,,,
TRUE,COMMAND_AND_CONTROL,ACCOUNTABILITY_OFFICER_ASSIGNED,,Command And Control,Accountability Officer Assigned,,,,,
TRUE,FORCIBLE_ENTRY,,,Forcible Entry,,,,,,
TRUE,INVESTIGATION,,,Investigation,,,,,,
TRUE,SUPPRESSION,STRUCTURAL_FIRE_SUPPRESSION,INTERIOR,Suppression,Structural Fire Suppression,Inside the Building,,,,
TRUE,SUPPRESSION,STRUCTURAL_FIRE_SUPPRESSION,EXTERIOR,Suppression,Structural Fire Suppression,"Outside the Building (Windows, Walls, Roof, etc.)",,,,
TRUE,SUPPRESSION,STRUCTURAL_FIRE_SUPPRESSION,EXTERIOR_AND_INTERIOR,Suppression,Structural Fire Suppression,Inside and Outside the Building,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,ESTABLISH_FIRE_LINES,Suppression,Outside Fire Suppression,Establish Fire Lines,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,BACKBURN,Suppression,Outside Fire Suppression,Backburn,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,CONFINEMENT,Suppression,Outside Fire Suppression,Confinement,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,STRUCTURE_PROTECTION,Suppression,Outside Fire Suppression,Structure Protection,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,FIRE_CONTROL_EXTINGUISHMENT,Suppression,Outside Fire Suppression,Fire Control / Extinguishment,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,FIRE_RETARDANT_DROP,Suppression,Outside Fire Suppression,Fire Retardant Drop From Aircraft,,,,
TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,WATER_DROP,Suppression,Outside Fire Suppression,Water Drop From Aircraft,,,,
TRUE,CONTAINMENT,OUTSIDE_FIRE_SUPPRESSION,HAND_CREW_FUEL_BREAK,Containment,Outside Fire Suppression,Hand Crew Fuel Break,,,,
TRUE,CONTAINMENT,OUTSIDE_FIRE_SUPPRESSION,DOZER_FUEL_BREAK,Containment,Outside Fire Suppression,Dozer Fuel Break,,,,
TRUE,VENTILATION,VERTICAL,,Ventilation,Vertical,,,,,
TRUE,VENTILATION,VERTICAL,PRIOR_TO_SUPPRESSION,Ventilation,Vertical,Prior To Suppression,,,,
TRUE,VENTILATION,VERTICAL,DURING_SUPPRESSION,Ventilation,Vertical,During Suppression,,,,
TRUE,VENTILATION,VERTICAL,POST_SUPPRESSION,Ventilation,Vertical,Post Suppression,,,,
TRUE,VENTILATION,HORIZONTAL,,Ventilation,Horizontal,,,,,
TRUE,VENTILATION,HORIZONTAL,PRIOR_TO_SUPPRESSION,Ventilation,Horizontal,Prior To Suppression,,,,
TRUE,VENTILATION,HORIZONTAL,DURING_SUPPRESSION,Ventilation,Horizontal,During Suppression,,,,
TRUE,VENTILATION,HORIZONTAL,POST_SUPPRESSION,Ventilation,Horizontal,Post Suppression,,,,
TRUE,VENTILATION,POSITIVE_PRESSURE,,Ventilation,Positive Pressure,,,,,
TRUE,VENTILATION,POSITIVE_PRESSURE,PRIOR_TO_SUPPRESSION,Ventilation,Positive Pressure,Prior To Suppression,,,,
TRUE,VENTILATION,POSITIVE_PRESSURE,DURING_SUPPRESSION,Ventilation,Positive Pressure,During Suppression,,,,
TRUE,VENTILATION,POSITIVE_PRESSURE,POST_SUPPRESSION,Ventilation,Positive Pressure,Post Suppression,,,,
TRUE,VENTILATION,HYDRAULIC,,Ventilation,Hydraulic,,,,,
TRUE,VENTILATION,HYDRAULIC,PRIOR_TO_SUPPRESSION,Ventilation,Hydraulic,Prior To Suppression,,,,
TRUE,VENTILATION,HYDRAULIC,DURING_SUPPRESSION,Ventilation,Hydraulic,During Suppression,,,,
TRUE,VENTILATION,HYDRAULIC,POST_SUPPRESSION,Ventilation,Hydraulic,Post Suppression,,,,
TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,,Search Structure,Door Initiated Search,,,,,
TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,PRIOR_TO_SUPPRESSION,Search Structure,Door Initiated Search,Prior To Suppression,,,,
TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,DURING_SUPPRESSION,Search Structure,Door Initiated Search,During Suppression,,,,
TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,POST_SUPPRESSION,Search Structure,Door Initiated Search,Post Suppression,,,,
TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,,Search Structure,Window Initiated Search,,,,,
TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,PRIOR_TO_SUPPRESSION,Search Structure,Window Initiated Search,Prior To Suppression,,,,
TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,DURING_SUPPRESSION,Search Structure,Window Initiated Search,During Suppression,,,,
TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,POST_SUPPRESSION,Search Structure,Window Initiated Search,Post Suppression,,,,
TRUE,NON_STRUCTURE_SEARCH,SEARCH_AREA_OF_COLLAPSE,,Non Structure Search,Search Area of Collapse,,,,,
TRUE,NON_STRUCTURE_SEARCH,SEARCH_UNDERGROUND_INFRASTRUCTURE,,Non Structure Search,Search Underground Infrastructure (Cave / Mine),,,,,
TRUE,NON_STRUCTURE_SEARCH,WIDE_AREA_OUTDOOR_SEARCH,,Non Structure Search,Wide Area / Outdoor Search,,,,,
TRUE,NON_STRUCTURE_SEARCH,SEARCH_WATERWAY,,Non Structure Search,Search Waterway,,,,,
TRUE,NON_STRUCTURE_SEARCH,BODY_RECOVERY,,Non Structure Search,Body Recovery,,,,,
TRUE,NON_STRUCTURE_SEARCH,USAR_K9_SEARCH,,Non Structure Search,USAR K9 Search,,,,,
TRUE,SALVAGE_AND_OVERHAUL,,,Salvage And Overhaul,,,,,,
TRUE,PERSONNEL_CONTAMINATION_REDUCTION,ON_SCENE_CONTAMINATION_REDUCTION,,Personnel Contamination Reduction,On-Scene Contamination Reduction,,,,,
TRUE,PERSONNEL_CONTAMINATION_REDUCTION,CLEAN_CAB_TRANSPORT,,Personnel Contamination Reduction,Clean Cab Transport,,,,,
TRUE,PERSONNEL_CONTAMINATION_REDUCTION,PPE_WASHED_POST_INCIDENT,,Personnel Contamination Reduction,PPE Washed Post-Incident,,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,TAKE_SAMPLES,,Hazardous Situation Mitigation,Take Samples,,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,SPILL_CONTROL,,Hazardous Situation Mitigation,Spill Control,,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,LEAK_STOP,,Hazardous Situation Mitigation,Leak Stop,,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,REMOVE_HAZARD,,Hazardous Situation Mitigation,Remove Hazard,,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,DECONTAMINATION,,Hazardous Situation Mitigation,Decontamination,,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,ATMOSPHERIC_MONITORING_INTERIOR,,Hazardous Situation Mitigation,Atmospheric Monitoring (Interior),,,,,
TRUE,HAZARDOUS_SITUATION_MITIGATION,ATMOSPHERIC_MONITORING_EXTERIOR_FENCELINE,,Hazardous Situation Mitigation,Atmospheric Monitoring (Exterior / Fenceline),,,,,
TRUE,PROVIDE_EVACUATION_SUPPORT,CONNECTED_INTERIOR_SPACES,,Provide Evacuation Support,Connected Interior Spaces,,,,,
TRUE,PROVIDE_EVACUATION_SUPPORT,REMOTE_INTERIOR_SPACES,,Provide Evacuation Support,Remote Interior Spaces,,,,,
TRUE,PROVIDE_EVACUATION_SUPPORT,NEARBY_BUILDINGS,,Provide Evacuation Support,Nearby Buildings,,,,,
TRUE,PROVIDE_EVACUATION_SUPPORT,LARGE_AREA,,Provide Evacuation Support,Large Area,,,,,
TRUE,PROVIDE_EQUIPMENT,PROVIDE_SPECIAL_EQUIPMENT,,Provide Equipment,Provide Special Equipment,,,,,
TRUE,PROVIDE_EQUIPMENT,PROVIDE_LIGHT,,Provide Equipment,Provide Light,,,,,
TRUE,PROVIDE_EQUIPMENT,PROVIDE_ELECTRICAL_POWER,,Provide Equipment,Provide Electrical Power,,,,,
TRUE,PROVIDE_EQUIPMENT,PROVIDE_DRONE_VIDEO_EQUIPMENT,,Provide Equipment,Provide Drone / Video Equipment,,,,,
TRUE,PROVIDE_SERVICES,RESTORE_SPRINKLER_SYSTEM,,Provide Services,Restore Sprinkler System,,,,,
TRUE,PROVIDE_SERVICES,RESTORE_RESET_ALARM_SYSTEM,,Provide Services,Restore/Reset Alarm System,,,,,
TRUE,PROVIDE_SERVICES,SHUT_DOWN_ALARM,,Provide Services,Shut Down Alarm,,,,,
