active,value_1,value_2,value_3,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
TRUE,CONSUMER_PRODUCTS,APPLIANCE_TOOL,,Appliances / Tools,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,CELL_PHONE,,Cell Phone,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,COMPUTER_TABLET,,Computer / Tablet,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,ELECTRONIC_CIGARETTE,,Electronic Cigarette,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,POWER_BANK,,Power Bank,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,TOY,,Toy,Consumer Products,,,,,
TRUE,CONSUMER_PRODUCTS,OTHER,,Other,Consumer Products,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,HYDROELECTRIC,,Pumped-Storage Hydroelectric,Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,BATTERY,,Battery (Electro-Chemical),Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,COMPRESSED_AIR,,Compressed-Air Storage,Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,FLYWHEEL,,Flywheel,Energy Storage System,,,,,
TRUE,ENERGY_STORAGE_SYSTEM,OTHER,,Other,Energy Storage System,,,,,
TRUE,E_MOBILITY,POWER_ASSISTED_BICYCLE,,Power Assisted Bicycle,E-Mobility,,,,,
TRUE,E_MOBILITY,ELECTRIC_SCOOTER_MOPED,,Electric Scooter/Moped,E-Mobility,,,,,
TRUE,E_MOBILITY,PERSONAL_MOBILITY_ASSIST,,Personal Mobility Assist,E-Mobility,,,,,
TRUE,E_MOBILITY,OTHER,,Other,E-Mobility,,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,FULL_ELECTRIC,Road Registered Car,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,PLUG_IN_HYBRID,Road Registered Car,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,CAR_RR,HYBRID,Road Registered Car,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,FULL_ELECTRIC,Road Registered Passenger Truck,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,PLUG_IN_HYBRID,Road Registered Passenger Truck,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,HYBRID,Road Registered Passenger Truck,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,FULL_ELECTRIC,Road Registered Commercial Truck,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,PLUG_IN_HYBRID,Road Registered Commercial Truck,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,HYBRID,Road Registered Commercial Truck,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,FULL_ELECTRIC,Road Registered Bus,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,PLUG_IN_HYBRID,Road Registered Bus,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BUS_RR,HYBRID,Road Registered Bus,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,FULL_ELECTRIC,Boat Recreational,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,PLUG_IN_HYBRID,Boat Recreational,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,HYBRID,Boat Recreational,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERICAL,FULL_ELECTRIC,Boat Commercial,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERICAL,PLUG_IN_HYBRID,Boat Commercial,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,BOAT_COMMERICAL,HYBRID,Boat Commercial,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,LIGHT_EV_NRR,FULL_ELECTRIC,Non Road Registered Light Vehicle,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,LIGHT_EV_NRR,PLUG_IN_HYBRID,Non Road Registered Light Vehicle,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,LIGHT_EV_NRR,HYBRID,Non Road Registered Light Vehicle,Electric Vehicle,Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,OTHER,FULL_ELECTRIC,Other,Electric Vehicle,Full Electric,,,,
TRUE,ELECTRIC_VEHICLE,OTHER,PLUG_IN_HYBRID,Other,Electric Vehicle,Plug-In Hybrid,,,,
TRUE,ELECTRIC_VEHICLE,OTHER,HYBRID,Other,Electric Vehicle,Hybrid,,,,
