active,value,description,definition,source
TRUE,GAS_CUBIC_FOOT,Gas - Cubic Foot ,,
TRUE,GAS_CUBIC_INCH,Gas - Cubic Inch ,,
TRUE,GAS_CUBIC_CENTIMETER,Gas - Cubic Centimeter ,,
TRUE,GAS_CUBIC_METER,Gas - Cubic Meter ,,
TRUE,GAS_POUND,Gas - Pound ,,
TRUE,LIQUID_CUBIC_CENTIMETER,Liquid - Cubic Centimeter ,,
TRUE,LIQUID_CUP,Liquid - Cup ,,
TRUE,LIQUID_GALLON,Liquid - Gallon ,,
TRUE,LIQUID_GRAM,Liquid - Gram ,,
TRUE,LIQUID_KILOGRAM,Liquid - Kilogram ,,
TRUE,LIQUID_POUND,Liquid - Pound ,,
TRUE,LIQUID_LITER,Liquid - Liter ,,
TRUE,LIQUID_MILLIGRAM,Liquid - Milligram ,,
TRUE,LIQUID_MILLILITER,Liquid - Milliliter ,,
TRUE,LIQUID_OUNCE,Liquid - Ounce ,,
TRUE,LIQUID_PINT,Liquid - Pint ,,
TRUE,LIQUID_QUART,Liquid - Quart ,,
TRUE,LIQUID_TABLESPOON,Liquid - Tablespoon ,,
TRUE,LIQUID_TEASPOON,Liquid - Teaspoon ,,
TRUE,SOLID_GRAM,Solid - Gram ,,
TRUE,SOLID_KILOGRAM,Solid - Kilogram ,,
TRUE,SOLID_POUND,Solid - Pound ,,
TRUE,SOLID_LITER,Solid - Liter ,,
TRUE,SOLID_MILLIGRAM,Solid - Milligram ,,
TRUE,SOLID_OUNCE,Solid - Ounce ,,
TRUE,SOLID_TABLESPOON,Solid - Tablespoon ,,
TRUE,SOLID_TON,Solid - Ton ,,
TRUE,SOLID_TEASPOON,Solid - Teaspoon ,,
TRUE,RADIOACTIVE_CURIE,Radioactive - Curie ,,
TRUE,RADIOACTIVE_MEGABECQUEREL,Radioactive - Megabecquerel ,,
TRUE,RADIOACTIVE_MILLICURIE,Radioactive - Millicurie ,,
TRUE,RADIOACTIVE_TERABECQUEREL,Radioactive - Terabecquerel ,,
TRUE,RADIOACTIVE_MICROCURIE,Radioactive - Microcurie ,,
